"X__1"	"ID0"	"Description"	"reaction"	"rxnID"	"reaction_corrected"	"gene"	"ec_uniprot"	"subsystem"	"Reversibility"	"Reversibility_evidences"	"Remark"	"subsystem_standard"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"
185	"Rh186"	"Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)"	"2 superoxide  + 2 H(+) + => hydrogen peroxide  + oxygen"	"R00275"	"2 superoxide + 2 H+ <=> hydrogen peroxide + oxygen"	"YJR104C"	"1.15.1.1"	"Peroxisome"	1	"based on database;"	"Add new reaction;"	"sce04146  peroxisome"	"rhea:20696"	"NA"	NA	"MNXR104498"	"2 `H(+)` + 2 `superoxide` = 1 `H2O2` + 1 `O2`"	"true"	"2 MNXM1@MNXD1 + 2 MNXM330@MNXD1 = 1 MNXM22@MNXD1 + 1 MNXM4@MNXD1"	"2 H(+) + 2 superoxide => H2O2 + O2;H2O2 + O2 => 2 H(+) + 2 superoxide"
186	"Rh187"	"CAAX prenyl protease 1 (EC 3.4.24.84) (A-factor-converting enzyme) (Prenyl protein-specific endoprotease 1) (PPSEP 1)"	"S-Farnesyl protein  + H2O <=> Protein C-terminal S-farnesyl-L-cysteine  + Peptide"	"R09845"	"S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide"	"YJR117W;YMR274C"	"3.4.24.84;3.4.22.-"	"Terpenoid backbone biosynthesis"	1	"NA"	"Not added. Can't find from BiGG"	"sce00900  terpenoid backbone biosynthesis"	"NA"	"NA"	"MNXR113246"	"MNXR113246"	"1 `H2O` + 1 `S-Farnesyl protein` = 1 `protein C-terminal S-farnesyl-L-cysteine` + 1 `peptide`"	"NA"	"1 MNXM2@MNXD1 + 1 MNXM21342@MNXD1 = 1 MNXM5285@MNXD1 + 1 MNXM639@MNXD1"	NA
187	"Rh188"	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (Man(9)-alpha-mannosidase)"	"G00011  + 4 H2O <=> G00012  + 4 D-Mannose"	"R05982"	"G00011 + 4 H2O <=> G00012 + 4 D-mannose"	"YJR131W;YLR057W"	"3.2.1.113;3.2.1.-"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:56008"	"NA"	"MNXR109973"	"MNXR109973"	"4 `D-mannose` + 1 `G00012` = 4 `H2O` + 1 `G00011`"	"NA"	"4 MNXM182@MNXD1 + 1 MNXM9328@MNXD1 = 4 MNXM2@MNXD1 + 1 MNXM6479@MNXD1"	NA
188	"Rh189"	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (Man(9)-alpha-mannosidase)"	"H2O  + G00011 <=> D-Mannose  + G10694"	"R06722"	"H2O + G00011 <=> D-mannose + G10694"	"YJR131W;YLR057W"	"3.2.1.113;3.2.1.-"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:56004"	"NA"	"MNXR110483"	"MNXR110483"	"1 `D-mannose` + 1 `G10694` = 1 `H2O` + 1 `G00011`"	"NA"	"1 MNXM182@MNXD1 + 1 MNXM7899@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM6479@MNXD1"	NA
189	"Rh190"	"Putative nitronate monooxygenase (EC 1.13.12.16) (Nitroalkane oxidase)"	"Ethylnitronate  + Oxygen  + Reduced FMN <=> Acetaldehyde  + Nitrite  + FMN  + H2O"	"R00025"	"Ethylnitronate + oxygen + FMNH2 <=> acetaldehyde + Nitrite + FMN + H2O"	"YJR149W"	"1.13.12.16"	"Nitrogen metabolism"	1	"NA"	"Add new reaction;"	"sce00910  nitrogen metabolism"	"rhea:26458"	"NA"	NA	"MNXR106342"	"2 `H(+)` + 1 `nitrite` + 1 `FMN` + 1 `H2O` + 1 `acetaldehyde` = 1 `FMNH2` + 1 `nitroethane` + 1 `O2`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM107@MNXD1 + 1 MNXM119@MNXD1 + 1 MNXM2@MNXD1 + 1 MNXM75@MNXD1 = 1 MNXM208@MNXD1 + 1 MNXM2143@MNXD1 + 1 MNXM4@MNXD1"	"ethylnitronate + FMNH2 + O2 => acetaldehyde + FMN + H2O + 2 H(+) + nitrite;acetaldehyde + FMN + H2O + 2 H(+) + nitrite => ethylnitronate + FMNH2 + O2"
190	"Rh191"	"Putative cystathionine gamma-synthase YLL058W (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)"	"L-cysteine  + O-succinyl-L-homoserine => succinate  + L-cystathionine  + H(+)"	"R03260"	"L-cysteine + O-succinyl-L-homoserine <=> succinate + L-cystathionine + H+"	"YLL058W;YML082W"	"2.5.1.48"	"Cysteine and methionine metabolism"	1	"based database;"	"Only merge the gene;"	"sce00270  cysteine and methionine metabolism"	"rhea:20397"	"NA"	NA	"MNXR104380"	"1 `H(+)` + 1 `succinate` + 1 `L-cystathionine` = 1 `L-cysteine` + 1 `O-succinyl-L-homoserine`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM25@MNXD1 + 1 MNXM319@MNXD1 = 1 MNXM55@MNXD1 + 1 MNXM820@MNXD1"	"O-succinyl-L-homoserine + L-cysteine => L-cystathionine + H(+) + succinate;L-cystathionine + H(+) + succinate => O-succinyl-L-homoserine + L-cysteine"
192	"Rh193"	"Probable ferric reductase transmembrane component 8 (EC 1.16.1.7) (Ferric-chelate reductase 8)"	"2 a Fe(III)-siderophore  + NADPH <=> 2 a Fe(II)-siderophore  + H(+)  + NADP(+)"	"R09541"	"2 a Fe(III)-siderophore + NADPH <=> 2 a Fe(II)-siderophore + H+ + NADP(+)"	"YLR047C"	"1.16.1.7"	"ferric-chelate reductase"	1	"based on database;"	"Add new reaction;"	"ferric-chelate reductase"	"rhea:28795"	"NA"	NA	NA	"2 a Fe(II)-siderophore + H(+) + NADP(+) => 2 a Fe(III)-siderophore + NADPH;2 a Fe(III)-siderophore + NADPH => 2 a Fe(II)-siderophore + H(+) + NADP(+)"	"true"	NA	"2 a Fe(II)-siderophore + H(+) + NADP(+) => 2 a Fe(III)-siderophore + NADPH;2 a Fe(III)-siderophore + NADPH => 2 a Fe(II)-siderophore + H(+) + NADP(+)"
193	"Rh194"	"1-acylglycerol-3-phosphate O-acyltransferase ICT1 (EC 2.3.1.51) (Increased copper tolerance protein 1) (Lysophosphatidic acid acyltransferase ICT1) (LPAAT)"	"Acyl-CoA  + 1-acyl-sn-glycerol 3-phosphate <=> CoA  + 1,2-diacyl-sn-glycerol 3-phosphate"	"R00851"	"Acyl-CoA + 1-acyl-sn-glycerol 3-phosphate <=> coenzyme A + 1,2-diacyl-sn-glycerol 3-phosphate"	"YLR099C;YPR139C"	"2.3.1.51"	"Glycerolipid metabolism;Glycerophospholipid metabolism"	1	"NA"	"Add new reaction;"	"sce00561  glycerolipid metabolism;sce00564  glycerophospholipid metabolism"	"rhea:15325"	"NA"	NA	"MNXR106715"	"1 `CoA` + 1 `1-acyl-sn-glycero-3-phosphate` = 1 `an acyl-CoA` + 1 `sn-glycerol 3-phosphate`"	"true"	"1 MNXM12@MNXD1 + 1 MNXM145527@MNXD1 = 1 MNXM44@MNXD1 + 1 MNXM66@MNXD1"	"sn-glycerol 3-phosphate + an acyl-CoA => 1-acyl-sn-glycero-3-phosphate + CoA;1-acyl-sn-glycero-3-phosphate + CoA => sn-glycerol 3-phosphate + an acyl-CoA"
194	"Rh195"	"Diphthine--ammonia ligase (EC 6.3.1.14) (Diphthamide synthase) (Diphthamide synthetase)"	"ATP  + Peptide diphthine  + Ammonia  + H(+) + <=> AMP  + Diphosphate  + Peptide diphthamide"	"R03613"	"ATP + Peptide diphthine + ammonium + H+ -> AMP + diphosphate + Peptide diphthamide"	"YLR143W"	"6.3.1.14"	"diphthamide biosynthesis"	0	"Based on yeastGEM;"	"Add new reaction;"	"diphthamide biosynthesis"	"rhea:19753"	"NA"	"MNXR108295"	"MNXR126023"	"1 `NH4(+)` + 1 `ATP` + 1 `diphthine residue` = 1 `H(+)` + 1 `diphosphate` + 1 `AMP` + 1 `diphthamide residue`"	"true"	"1 MNXM15@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM51194@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM14@MNXD1 + 1 MNXM4769@MNXD1"	"ATP + diphthine-[translation elongation factor 2] + NH4(+) => AMP + diphosphate + diphthamide-[translation elongation factor 2] + H(+);AMP + diphosphate + diphthamide-[translation elongation factor 2] + H(+) => ATP + diphthine-[translation elongation factor 2] + NH4(+)"
196	"Rh197"	"Mitochondrial inner membrane protein SHH4 (SDH4 homolog)"	"Quinone  + Succinate <=> Hydroquinone  + Fumarate"	"R02164"	"quinone + succinate <=> Hydroquinone + fumarate"	"YLR164W"	"NA"	"Citrate cycle (TCA cycle)"	1	"NA"	"Add new reaction;"	"sce00020  citrate cycle (tca cycle)"	"rhea:13713"	"NA"	"MNXR107340"	"MNXR125744"	"1 `a ubiquinone` + 1 `succinate` = 1 `a ubiquinol` + 1 `fumarate`"	"true"	"1 MNXM176@MNXD1 + 1 MNXM25@MNXD1 = 1 MNXM202@MNXD1 + 1 MNXM93@MNXD1"	"a ubiquinone + succinate => a ubiquinol + fumarate;a ubiquinol + fumarate => a ubiquinone + succinate"
197	"Rh198"	"Octanoyltransferase, mitochondrial (EC 2.3.1.181) (Lipoate biosynthesis protein) (Lipoate-protein ligase) (Lipoyl ligase) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)"	"Octanoyl-[acp]  + Apoprotein <=> Protein N6-(octanoyl)lysine  + Acyl-carrier protein"	"R07766"	"octanoyl-ACP + Apoprotein <=> Protein N6-(octanoyl)lysine + ACP1"	"YLR239C"	"2.3.1.181"	"Lipoic acid metabolism"	1	"NA"	"Add new reaction;"	"sce00785  lipoic acid metabolism"	"rhea:17665"	"NA"	NA	"MNXR125931"	"1 `O-(S-octanoylpantetheine-4'-phosphoryl)-L-serine residue` + 1 `L-lysine residue` = 1 `H(+)` + 1 `O-(pantetheine-4'-phosphoryl)-L-serine residue` + 1 `N(6)-octanoyl-L-lysine residue`"	"true"	"1 MNXM145593@MNXD1 + 1 MNXM59465@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM128788@MNXD1 + 1 MNXM145774@MNXD1"	"[protein]-L-lysine + octanoyl-[ACP] => [protein]-N(6)-octanoyl-L-lysine + H(+) + holo-[ACP];[protein]-N(6)-octanoyl-L-lysine + H(+) + holo-[ACP] => [protein]-L-lysine + octanoyl-[ACP]"
199	"Rh200"	"Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"	"ATP  + beta-D-fructose 6-phosphate <=> ADP  + beta-D-fructose 2,6-bisphosphate"	"R02732"	"ATP + beta-D-Fructose 6-phosphate -> ADP + beta-D-fructose 2,6-bisphosphate"	"YLR345W"	"2.7.1.105; 3.1.3.46"	"Fructose and mannose metabolism"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00051  fructose and mannose metabolism"	"rhea:15653"	"NA"	NA	"MNXR102508"	"1 `H(+)` + 1 `beta-D-fructose 2,6-bisphosphate` + 1 `ADP` = 1 `ATP` + 1 `beta-D-fructose 6-phosphate`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM651@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM89621@MNXD1"	"beta-D-fructose 6-phosphate + ATP => beta-D-fructose 2,6-bisphosphate + ADP + H(+);beta-D-fructose 2,6-bisphosphate + ADP + H(+) => beta-D-fructose 6-phosphate + ATP"
200	"Rh201"	"Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"	"beta-D-fructose 2,6-bisphosphate  + H2O <=> D-fructose 6-phosphate  + phosphate"	"R00763"	"beta-D-fructose 2,6-bisphosphate + H2O <=> D-fructose 6-phosphate + phosphate"	"YLR345W"	"2.7.1.105; 3.1.3.46"	"Fructose and mannose metabolism"	1	"NA"	"Only merge the gene;"	"sce00051  fructose and mannose metabolism"	"rhea:17289"	"NA"	NA	"MNXR99466"	"1 `H2O` + 1 `beta-D-fructose 2,6-bisphosphate` = 1 `beta-D-fructose 6-phosphate` + 1 `phosphate`"	"true"	"1 MNXM2@MNXD1 + 1 MNXM651@MNXD1 = 1 MNXM89621@MNXD1 + 1 MNXM9@MNXD1"	"beta-D-fructose 2,6-bisphosphate + H2O => beta-D-fructose 6-phosphate + phosphate;beta-D-fructose 6-phosphate + phosphate => beta-D-fructose 2,6-bisphosphate + H2O"
201	"Rh202"	"Omega-amidase NIT3 (EC 3.5.1.3) (Nitrilase homolog 2)"	"a monoamide of a dicarboxylate  + H2O <=> a dicarboxylate  + NH4(+)"	"R03804"	"a monoamide of a dicarboxylate + H2O <=> a dicarboxylate + ammonium"	"YLR351C"	"3.5.1.3"	"Other"	1	"NA"	"Add new reaction;"	"other"	"rhea:11716"	"NA"	"MNXR108439"	"MNXR125651"	"1 `NH4(+)` + 1 `a dicarboxylate` = 1 `H2O` + 1 `a monoamide of a dicarboxylate`"	"true"	"1 MNXM15@MNXD1 + 1 MNXM50493@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM50494@MNXD1"	"a monoamide of a dicarboxylate + H2O => a dicarboxylate + NH4(+);a dicarboxylate + NH4(+) => a monoamide of a dicarboxylate + H2O"
205	"Rh206"	"Putative hexokinase YLR446W (EC 2.7.1.1)"	"ATP  + D-Glucose <=> ADP  + D-Glucose 6-phosphate"	"R00299"	"ATP + D-glucose -> ADP + D-glucose 6-phosphate"	"YLR446W"	"2.7.1.1"	"Glycolysis / Gluconeogenesis"	0	"Based on yeastGEM;"	"Only merge the gene;"	"sce00010  glycolysis / gluconeogenesis"	"rhea:17825"	"NA"	NA	"MNXR100612"	"1 `H(+)` + 1 `D-glucopyranose 6-phosphate` + 1 `ADP` = 1 `ATP` + 1 `D-glucose`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM160@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM41@MNXD1"	"D-glucose + ATP => D-glucose 6-phosphate + ADP + H(+);D-glucose 6-phosphate + ADP + H(+) => D-glucose + ATP"
206	"Rh207"	"Putative hexokinase YLR446W (EC 2.7.1.1)"	"ATP  + D-Fructose <=> ADP  + D-Fructose 6-phosphate"	"R00760"	"ATP + D-fructose -> ADP + D-fructose 6-phosphate"	"YLR446W"	"2.7.1.1"	"Glycolysis / Gluconeogenesis"	0	"Based on yeastGEM;"	"Only merge the gene;"	"sce00010  glycolysis / gluconeogenesis"	"rhea:16125"	"NA"	NA	"MNXR106668"	"1 `D-fructose` + 1 `ATP` = 1 `H(+)` + 1 `D-fructofuranose 6-phosphate` + 1 `ADP`"	"true"	"1 MNXM175@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM162235@MNXD1 + 1 MNXM7@MNXD1"	"D-fructose + ATP => D-fructofuranose 6-phosphate + ADP + H(+);D-fructofuranose 6-phosphate + ADP + H(+) => D-fructose + ATP"
208	"Rh209"	"Putative hexokinase YLR446W (EC 2.7.1.1)"	"ATP  + D-Mannose <=> ADP  + D-Mannose 6-phosphate"	"R01326"	"ATP + D-mannose -> ADP + D-mannose 6-phosphate"	"YLR446W"	"2.7.1.1"	"Glycolysis / Gluconeogenesis"	0	"Based on yeastGEM;"	"Only merge the gene;"	"sce00010  glycolysis / gluconeogenesis"	"rhea:11028"	"NA"	NA	"MNXR95795"	"1 `D-mannose` + 1 `ATP` = 1 `H(+)` + 1 `D-mannose 6-phosphate` + 1 `ADP`"	"true"	"1 MNXM182@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM427@MNXD1 + 1 MNXM7@MNXD1"	"D-mannose + ATP => D-mannose 6-phosphate + ADP + H(+);D-mannose 6-phosphate + ADP + H(+) => D-mannose + ATP"
211	"Rh212"	"Putative hexokinase YLR446W (EC 2.7.1.1)"	"ATP  + D-Glucosamine <=> ADP  + D-Glucosamine 6-phosphate"	"R01961"	"ATP + D-Glucosamine -> ADP + alpha-D-glucosamine 6-phosphate"	"YLR446W"	"2.7.1.1"	"Glycolysis / Gluconeogenesis"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00010  glycolysis / gluconeogenesis"	"rhea:10948"	"NA"	NA	"MNXR100613"	"1 `H(+)` + 1 `D-glucosamine 6-phosphate` + 1 `ADP` = 1 `ATP` + 1 `D-glucosamine`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM370@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM533@MNXD1"	"D-glucosamine + ATP => D-glucosamine 6-phosphate + ADP + H(+);D-glucosamine 6-phosphate + ADP + H(+) => D-glucosamine + ATP"
213	"Rh214"	"Putative glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)"	"L-glutamine  + D-fructose 6-phosphate <=> L-glutamate  + D-glucosamine 6-phosphate"	"R00768"	"L-glutamine + D-fructose 6-phosphate <=> L-glutamate + alpha-D-glucosamine 6-phosphate"	"YMR084W"	"2.6.1.16"	"UDP-N-acetyl-alpha-D-glucosamine biosynthesis"	1	"NA"	"Only merge the gene;"	"udp-n-acetyl-alpha-d-glucosamine biosynthesis"	"rhea:13237"	"NA"	NA	"MNXR106675"	"1 `D-fructofuranose 6-phosphate` + 1 `L-glutamine` = 1 `D-glucosamine 6-phosphate` + 1 `L-glutamate`"	"true"	"1 MNXM162235@MNXD1 + 1 MNXM37@MNXD1 = 1 MNXM370@MNXD1 + 1 MNXM89557@MNXD1"	"D-fructofuranose 6-phosphate + L-glutamine => D-glucosamine 6-phosphate + L-glutamate;D-glucosamine 6-phosphate + L-glutamate => D-fructofuranose 6-phosphate + L-glutamine"
214	"Rh215"	"Probable ADP-ribose 1''-phosphate phosphatase YML087W (EC 3.1.3.84)"	"ADP-D-ribose 1''-phosphate  + H2O <=> ADP-D-ribose  + phosphate"	"RXN-10034"	"ADP-D-ribose 1''-phosphate + H2O <=> ADP-ribose + phosphate"	"YMR087W"	"3.1.3.84"	"other"	1	"NA"	"Add new reaction;"	"other"	"rhea:25029"	"RHEA:25029"	NA	"MNXR116282"	"1 `H2O` + 1 `ADP-D-ribose 1''-phosphate` = 1 `ADP-D-ribose` + 1 `phosphate`"	"true"	"1 MNXM2@MNXD1 + 1 MNXM5039@MNXD1 = 1 MNXM48596@MNXD1 + 1 MNXM9@MNXD1"	"ADP-D-ribose 1''-phosphate + H2O => ADP-D-ribose + phosphate;ADP-D-ribose + phosphate => ADP-D-ribose 1''-phosphate + H2O"
215	"Rh216"	"Glucose-6-phosphate 1-epimerase (EC 5.1.3.15) (D-hexose-6-phosphate mutarotase)"	"alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate"	"R02739"	"alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate"	"YMR099C"	"5.1.3.15"	"Glycolysis / Gluconeogenesis"	1	"NA"	"Add new reaction;"	"sce00010  glycolysis / gluconeogenesis"	"rhea:16249"	"NA"	NA	"MNXR99911"	"1 `alpha-D-glucose 6-phosphate` = 1 `beta-D-glucose 6-phosphate`"	"true"	"1 MNXM215@MNXD1 = 1 MNXM508@MNXD1"	"alpha-D-glucose 6-phosphate => beta-D-glucose 6-phosphate;beta-D-glucose 6-phosphate => alpha-D-glucose 6-phosphate"
216	"Rh217"	"Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)"	"2,5-Dioxopentanoate  + NADP(+)  + H2O <=> 2-Oxoglutarate  + NADPH  + H(+)"	"R00264"	"2,5-Dioxopentanoate + NADP(+) + H2O <=> 2-oxoglutarate + NADPH + H+"	"YMR110C"	"1.2.1.3"	"Sphingolipid metabolism"	1	"based on database;"	"Add new reaction;"	"sce00600  sphingolipid metabolism"	"rhea:11296"	"NA"	NA	"MNXR106443"	"2 `H(+)` + 1 `2-oxoglutarate` + 1 `NADPH` = 1 `H2O` + 1 `NADP(+)` + 1 `2,5-dioxopentanoate`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM20@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM5@MNXD1 + 1 MNXM770@MNXD1"	"2,5-dioxopentanoate + H2O + NADP(+) => 2-oxoglutarate + 2 H(+) + NADPH;2-oxoglutarate + 2 H(+) + NADPH => 2,5-dioxopentanoate + H2O + NADP(+)"
218	"Rh219"	"Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)"	"Acetaldehyde  + NAD(+) + H2O <=> Acetate  + NADH  + H(+)"	"R00710"	"acetaldehyde + NAD + H2O <=> acetate + NADH + H+"	"YMR110C"	"1.2.1.3"	"Sphingolipid metabolism"	1	"NA"	"Only merge the gene;"	"sce00600  sphingolipid metabolism"	"rhea:25294"	"NA"	NA	"MNXR95749"	"2 `H(+)` + 1 `NADH` + 1 `acetate` = 1 `H2O` + 1 `acetaldehyde` + 1 `NAD(+)`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM26@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM75@MNXD1 + 1 MNXM8@MNXD1"	"acetaldehyde + H2O + NAD(+) => acetate + 2 H(+) + NADH;acetate + 2 H(+) + NADH => acetaldehyde + H2O + NAD(+)"
219	"Rh220"	"Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)"	"3-Aminopropanal  + NAD(+) + H2O <=> beta-Alanine  + NADH  + H(+)"	"R00904"	"3-aminopropanal + NAD + H2O <=> beta-alanine + NADH + H+"	"YMR110C"	"1.2.1.3"	"Sphingolipid metabolism"	1	"NA"	"Only merge the gene;"	"sce00600  sphingolipid metabolism"	"rhea:30695"	"NA"	NA	"MNXR95748"	"2 `H(+)` + 1 `NADH` + 1 `beta-alanine` = 1 `H2O` + 1 `3-aminopropanal` + 1 `NAD(+)`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM144@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM493@MNXD1 + 1 MNXM8@MNXD1"	"3-aminopropanal + H2O + NAD(+) => beta-alanine + 2 H(+) + NADH;beta-alanine + 2 H(+) + NADH => 3-aminopropanal + H2O + NAD(+)"
220	"Rh221"	"Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)"	"D-Glyceraldehyde  + NAD(+) + H2O <=> D-Glycerate  + NADH  + H(+)"	"R01752"	"D-glyceraldehyde + NAD + H2O <=> D-glycerate + NADH + H+"	"YMR110C"	"1.2.1.3"	"Sphingolipid metabolism"	1	"NA"	"Add new reaction;"	"sce00600  sphingolipid metabolism"	"rhea:30783"	"NA"	NA	"MNXR100310"	"2 `H(+)` + 1 `NADH` + 1 `D-glycerate` = 1 `H2O` + 1 `D-glyceraldehyde` + 1 `NAD(+)`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM189@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM435@MNXD1 + 1 MNXM8@MNXD1"	"D-glyceraldehyde + H2O + NAD(+) => D-glycerate + 2 H(+) + NADH;D-glycerate + 2 H(+) + NADH => D-glyceraldehyde + H2O + NAD(+)"
221	"Rh222"	"Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)"	"4-Aminobutyraldehyde  + NADP(+) + H2O <=> 4-Aminobutanoate  + NADPH  + H(+)"	"R01986"	"4-aminobutanal + NADP(+) + H2O <=> gamma-aminobutyrate + NADPH + H+"	"YMR110C"	"1.2.1.3"	"Sphingolipid metabolism"	1	"based on database;"	"Add new reaction;"	"sce00600  sphingolipid metabolism"	"rhea:30803"	"NA"	NA	"MNXR94991"	"2 `H(+)` + 1 `4-aminobutanoate` + 1 `NADPH` = 1 `H2O` + 1 `4-aminobutanal` + 1 `NADP(+)`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM192@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM422@MNXD1 + 1 MNXM5@MNXD1"	"4-aminobutanal + H2O + NADP(+) => 4-aminobutanoate + 2 H(+) + NADPH;4-aminobutanoate + 2 H(+) + NADPH => 4-aminobutanal + H2O + NADP(+)"
222	"Rh223"	"Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)"	"4-Aminobutyraldehyde  + NAD(+) + H2O <=> 4-Aminobutanoate  + NADH  + H(+)"	"R02549"	"4-aminobutanal + NAD + H2O <=> gamma-aminobutyrate + NADH + H+"	"YMR110C"	"1.2.1.3"	"Sphingolipid metabolism"	0	"corrected reversibility based on simulation?"	"Add new reaction;"	"sce00600  sphingolipid metabolism"	"rhea:19105"	"NA"	NA	"MNXR95191"	"2 `H(+)` + 1 `NADH` + 1 `4-aminobutanoate` = 1 `H2O` + 1 `4-aminobutanal` + 1 `NAD(+)`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM192@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM422@MNXD1 + 1 MNXM8@MNXD1"	"4-aminobutanal + H2O + NAD(+) => 4-aminobutanoate + 2 H(+) + NADH;4-aminobutanoate + 2 H(+) + NADH => 4-aminobutanal + H2O + NAD(+)"
223	"Rh224"	"Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)"	"Indole-3-acetaldehyde  + NAD(+) + H2O <=> Indole-3-acetate  + NADH  + H(+)"	"R02678"	"indol-3-ylacetaldehyde + NAD + H2O <=> indole-3-acetate + NADH + H+"	"YMR110C"	"1.2.1.3"	"Sphingolipid metabolism"	0	"corrected reversibility based on simulation?"	"Add new reaction;"	"sce00600  sphingolipid metabolism"	"rhea:30867"	"NA"	NA	"MNXR95744"	"2 `H(+)` + 1 `NADH` + 1 `(indol-3-yl)acetate` = 1 `H2O` + 1 `indole-3-acetaldehyde` + 1 `NAD(+)`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM383@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM518@MNXD1 + 1 MNXM8@MNXD1"	"H2O + indole-3-acetaldehyde + NAD(+) => (indol-3-yl)acetate + 2 H(+) + NADH;(indol-3-yl)acetate + 2 H(+) + NADH => H2O + indole-3-acetaldehyde + NAD(+)"
