"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
66	"r_0083"	"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase"	"s_0434[c] + s_0794[c] + s_1158[c]  -> s_0318[c] + s_0394[c]"	"ATP[c] + H+[c] + myo-inositol hexakisphosphate[c]  -> 5-diphospho-1D-myo-inositol pentakisphosphate[c] + ADP[c]"	"YDR017C"	"phosphatidylinositol signaling system ( sce04070 )"	0	1000	0	"pmid:11956213"	"2.7.4.21"	"R09087"
67	"r_0084"	"5-formethyltetrahydrofolate cyclo-ligase"	"s_0319[c] + s_0434[c]  -> s_0304[c] + s_0394[c] + s_1322[c]"	"5-formyltetrahydrofolic acid[c] + ATP[c]  -> 5,10-methenyl-THF[c] + ADP[c] + phosphate[c]"	"YER183C"	"one carbon pool by folate ( sce00670 )"	0	1000	0	"NA"	"6.3.3.2"	"R02301"
68	"r_0085"	"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase"	"s_0323[c] + s_1012[c]  -> s_1029[c] + s_1486[c]"	"5-methyltetrahydropteroyltri-L-glutamic acid[c] + L-homocysteine[c]  -> L-methionine[c] + tetrahydropteroyltri-L-glutamic acid[c]"	"YER091C"	"cysteine and methionine metabolism ( sce00270 )"	0	1000	0	"pmid:3542720"	"2.1.1.14"	"R04405"
69	"r_0086"	"5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase"	"s_1423[c]  -> s_0311[c] + s_0803[c]"	"S-methyl-5-thio-D-ribulose 1-phosphate[c]  -> 5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + H2O[c]"	"NA"	"cysteine and methionine metabolism ( sce00270 )"	0	1000	0	"pmid:14506228"	"NA"	"R07392"
70	"r_0087"	"5-methylthioribose-1-phosphate isomerase"	"s_1422[c]  <=> s_1423[c]"	"S-methyl-5-thio-alpha-D-ribose 1-phosphate[c]  <=> S-methyl-5-thio-D-ribulose 1-phosphate[c]"	"NA"	"cysteine and methionine metabolism ( sce00270 )"	-1000	1000	0	"pmid:14506228"	"NA"	"R04420"
71	"r_0088"	"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4"	"s_0318[c] + 2 s_0794[c] + s_1322[c]  <=> s_0263[c] + s_0803[c]"	"5-diphospho-1D-myo-inositol pentakisphosphate[c] + 2 H+[c] + phosphate[c]  <=> 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + H2O[c]"	"YLR410W"	"inositol phosphate metabolism ( sce00562 )"	-1000	1000	0	"pmid:17412958"	"2.7.4.21; 2.7.4.24"	"NA"
72	"r_0089"	"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4"	"s_0318[c] + 2 s_0794[c] + s_1322[c]  <=> s_0309[c] + s_0803[c]"	"5-diphospho-1D-myo-inositol pentakisphosphate[c] + 2 H+[c] + phosphate[c]  <=> 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + H2O[c]"	"YLR410W"	"inositol phosphate metabolism ( sce00562 )"	-1000	1000	0	"pmid:17412958"	"2.7.4.21; 2.7.4.24"	"NA"
73	"r_0090"	"6-phosphofructo-2-kinase"	"s_0434[c] + s_0557[c]  -> s_0394[c] + s_0442[c] + s_0794[c]"	"ATP[c] + D-fructose 6-phosphate[c]  -> ADP[c] + beta-D-fructose 2,6-bisphosphate[c] + H+[c]"	"( YIL107C or YOL136C )"	"fructose and mannose metabolism ( sce00051 )"	0	1000	0	"NA"	"2.7.1.105"	"NA"
74	"r_0091"	"6-phosphogluconolactonase"	"s_0335[c] + s_0803[c]  -> s_0340[c] + s_0794[c]"	"6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c]  -> 6-phospho-D-gluconate[c] + H+[c]"	"( YGR248W or YHR163W )"	"pentose phosphate pathway ( sce00030 )"	0	1000	0	"pmid:14454532"	"3.1.1.31"	"R02035"
75	"r_0092"	"6PP-IP5 depyrophosphorylation to IP6"	"s_0333[c] + s_0803[c]  <=> 2 s_0794[c] + s_1158[c] + s_1322[c]"	"6-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c]  <=> 2 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]"	"( YLR410W or YOR163W )"	"inositol phosphate metabolism ( sce00562 )"	-1000	1000	0	"pmid:17412958"	"2.7.4.21; 2.7.4.24; 3.6.1.52; 3.6.1.60"	"R05779"
76	"r_0093"	"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4"	"s_0333[c] + s_0434[c] + 2 s_0794[c]  -> s_0309[c] + s_0394[c] + s_0803[c]"	"6-diphospho-1D-myo-inositol pentakisphosphate[c] + ATP[c] + 2 H+[c]  -> 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + ADP[c] + H2O[c]"	"YDR017C"	"phosphatidylinositol signaling system ( sce04070 )"	0	1000	0	"pmid:17412958"	"2.7.4.21"	"NA"
77	"r_0094"	"8-amino-7-oxononanoate synthase"	"s_0955[c] + s_1368[c]  -> s_0352[c] + s_0456[c] + s_0529[c] + 4 s_0794[c]"	"L-alanine[c] + pimeloyl-CoA[c]  -> 8-amino-7-oxononanoate[c] + carbon dioxide[c] + coenzyme A[c] + 4 H+[c]"	"NA"	"biotin metabolism ( sce00780 )"	0	1000	0	"pmid:16269718"	"NA"	"R03210"
78	"r_0095"	"acetaldehyde condensation"	"2 s_0359[c]  -> s_0020[c]"	"2 acetaldehyde[c]  -> (R)-acetoin[c]"	"( YGR087C or YLR044C or YLR134W )"	"acetoin and butanediol biosynthesis"	0	1000	0	"pmid:12902239"	"4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74"	"NA"
79	"r_0096"	"acetohydroxy acid isomeroreductase"	"s_0146[m] + s_0799[m] + s_1214[m]  -> s_0016[m] + s_1210[m]"	"2-acetyllactic acid[m] + H+[m] + NADPH[m]  -> (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]"	"YLR355C"	"valine, leucine, and isoleucine metabolism"	0	1000	0	"pmid:8972574"	"1.1.1.86"	"NA"
80	"r_0097"	"acetolactate synthase"	"s_0799[m] + 2 s_1401[m]  -> s_0146[m] + s_0460[m]"	"H+[m] + 2 pyruvate[m]  -> 2-acetyllactic acid[m] + carbon dioxide[m]"	"(( YCL009C and YMR108W ) or YMR108W )"	"valine, leucine, and isoleucine metabolism"	0	1000	0	"pmid:8972574"	"2.2.1.6"	"R00006"
81	"r_0099"	"acetyl-CoA ACP transacylase"	"s_0376[m] + s_1845[m]  <=> s_0372[m] + s_0532[m]"	"acetyl-CoA[m] + ACP1[m]  <=> acetyl-ACP[m] + coenzyme A[m]"	"YKL192C"	"fatty acid biosynthesis ( sce00061 )"	-1000	1000	0	"pmid:15387819"	"NA"	"R01624"
82	"r_0100"	"acetyl-CoA C-acyltransferase (palmitoyl-CoA)"	"s_0250[p] + s_0534[p]  -> s_0378[p] + s_1305[p]"	"3-oxooctadecanoyl-CoA[p] + coenzyme A[p]  -> acetyl-CoA[p] + palmitoyl-CoA[p]"	"YIL160C"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"2.3.1.16"	"NA"
83	"r_0101"	"acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)"	"s_0243[p] + s_0534[p]  -> s_0378[p] + s_1482[p]"	"3-oxohexacosanoyl-CoA[p] + coenzyme A[p]  -> acetyl-CoA[p] + tetracosanoyl-CoA[p]"	"YIL160C"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"2.3.1.16"	"NA"
84	"r_0102"	"acetyl-CoA C-acyltransferase (myristoyl-CoA)"	"s_0253[p] + s_0534[p]  -> s_0378[p] + s_1179[p]"	"3-oxopalmitoyl-CoA[p] + coenzyme A[p]  -> acetyl-CoA[p] + myristoyl-CoA[p]"	"YIL160C"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"2.3.1.16"	"R03991"
85	"r_0103"	"acetyl-CoA C-acetyltransferase"	"2 s_0373[c]  -> s_0367[c] + s_0529[c]"	"2 acetyl-CoA[c]  -> acetoacetyl-CoA[c] + coenzyme A[c]"	"YPL028W"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"2.3.1.9"	"NA"
86	"r_0104"	"acetyl-CoA C-acetyltransferase"	"2 s_0376[m]  -> s_0370[m] + s_0532[m]"	"2 acetyl-CoA[m]  -> acetoacetyl-CoA[m] + coenzyme A[m]"	"YPL028W"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"2.3.1.9"	"NA"
87	"r_0105"	"acetyl-CoA C-acyltransferase (lauroyl-CoA)"	"s_0257[p] + s_0534[p]  -> s_0378[p] + s_1076[p]"	"3-oxotetradecanoyl-CoA[p] + coenzyme A[p]  -> acetyl-CoA[p] + lauroyl-CoA[p]"	"YIL160C"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"2.3.1.16"	"R03858"
88	"r_0106"	"acetyl-CoA C-acyltransferase (octanoyl-CoA)"	"s_0239[p] + s_0534[p]  -> s_0378[p] + s_1258[p]"	"3-oxodecanoyl-CoA[p] + coenzyme A[p]  -> acetyl-CoA[p] + octanoyl-CoA[p]"	"YIL160C"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"2.3.1.16"	"R03778"
89	"r_0107"	"acetyl-CoA C-acyltransferase (decanoyl-CoA)"	"s_0247[p] + s_0534[p]  -> s_0378[p] + s_0605[p]"	"3-oxolauroyl-CoA[p] + coenzyme A[p]  -> acetyl-CoA[p] + decanoyl-CoA[p]"	"YIL160C"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"2.3.1.16"	"R04742"
90	"r_0108"	"acetyl-Coa carboxylase"	"s_0376[m] + s_0437[m] + s_0447[m]  -> s_0397[m] + s_0799[m] + s_1104[m] + s_1326[m]"	"acetyl-CoA[m] + ATP[m] + bicarbonate[m]  -> ADP[m] + H+[m] + malonyl-CoA[m] + phosphate[m]"	"YMR207C"	"fatty acid biosynthesis ( sce00061 )"	0	1000	0	"pmid:14761959"	"6.3.4.14; 6.4.1.2"	"R00742"
91	"r_0109"	"acetyl-CoA carboxylase, reaction"	"s_0373[c] + s_0434[c] + s_0445[c]  -> s_0394[c] + s_0794[c] + s_1101[c] + s_1322[c]"	"acetyl-CoA[c] + ATP[c] + bicarbonate[c]  -> ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c]"	"( YDL141W and YNR016C )"	"fatty acid biosynthesis ( sce00061 )"	0	1000	0	"NA"	"6.3.4.14"	"R00742"
92	"r_0111"	"acetyl-CoA hydrolase"	"s_0376[m] + s_0807[m]  -> s_0365[m] + s_0532[m] + s_0799[m]"	"acetyl-CoA[m] + H2O[m]  -> acetate[m] + coenzyme A[m] + H+[m]"	"YBL015W"	"pyruvate metabolism ( sce00620 )"	0	1000	0	"NA"	"3.1.2.1"	"R00227"
93	"r_0112"	"acetyl-CoA synthetase"	"s_0362[c] + s_0434[c] + s_0529[c]  -> s_0373[c] + s_0423[c] + s_0633[c]"	"acetate[c] + ATP[c] + coenzyme A[c]  -> acetyl-CoA[c] + AMP[c] + diphosphate[c]"	"( YAL054C or YLR153C )"	"pyruvate metabolism ( sce00620 )"	0	1000	0	"pmid:8910545"	"6.2.1.1"	"R00235"
94	"r_0113"	"acetyl-CoA synthetase"	"s_0365[m] + s_0437[m] + s_0532[m]  -> s_0376[m] + s_0424[m] + s_0636[m]"	"acetate[m] + ATP[m] + coenzyme A[m]  -> acetyl-CoA[m] + AMP[m] + diphosphate[m]"	"YAL054C"	"pyruvate metabolism ( sce00620 )"	0	1000	0	"NA"	"6.2.1.1"	"R00235"
95	"r_0114"	"acetyl-CoA synthetase nuclear"	"s_0366[n] + s_0438[n] + s_0533[n]  -> s_0377[n] + s_0425[n] + s_0637[n]"	"acetate[n] + ATP[n] + coenzyme A[n]  -> acetyl-CoA[n] + AMP[n] + diphosphate[n]"	"YLR153C"	"pyruvate metabolism ( sce00620 )"	0	1000	0	"pmid:16857587"	"6.2.1.1"	"R00235"
96	"r_0115"	"acetylglutamate kinase"	"s_0437[m] + s_1192[m]  -> s_0397[m] + s_1191[m]"	"ATP[m] + N-acetyl-L-glutamate[m]  -> ADP[m] + N-acetyl-L-gamma-glutamyl phosphate[m]"	"YER069W"	"arginine biosynthesis ( sce00220 )"	0	1000	0	"NA"	"1.2.1.38; 2.7.2.8"	"R02649"
97	"r_0116"	"acid phosphatase (secreted)"	"s_0715[e] + s_0805[e]  -> s_1324[e] + s_1406[e]"	"FMN[e] + H2O[e]  -> phosphate[e] + riboflavin[e]"	"( YAR071W or YBR093C )"	"riboflavin metabolism ( sce00740 )"	0	1000	0	"pmid:13405892"	"3.1.3.2"	"R00548"
98	"r_0117"	"aconitase"	"s_0174[m]  <=> s_0012[m]"	"2-methylcitrate[m]  <=> (2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid[m]"	"YPR002W"	"propanoate metabolism ( sce00640 )"	-1000	1000	0	"pmid:16332871"	"4.2.1.79"	"NA"
99	"r_0118"	"acteylornithine transaminase"	"s_0145[m] + s_0993[m]  -> s_0182[m] + s_1182[m]"	"2-acetamido-5-oxopentanoate[m] + L-glutamate[m]  -> 2-oxoglutarate[m] + N(2)-acetyl-L-ornithine[m]"	"YOL140W"	"arginine biosynthesis ( sce00220 )"	0	1000	0	"NA"	"2.6.1.11"	"R02283"
100	"r_0119"	"acyl carrier protein synthase"	"s_0532[m] + s_0807[m]  -> s_0392[m] + 2 s_0799[m] + s_1308[m]"	"coenzyme A[m] + H2O[m]  -> adenosine 3',5'-bismonophosphate[m] + 2 H+[m] + pantetheine 4'-phosphate[m]"	"YPL148C"	"pantothenate and coa biosynthesis ( sce00770 )"	0	1000	0	"NA"	"2.7.8.7"	"NA"
101	"r_0120"	"acyl-CoA oxidase (decanoyl-CoA)"	"s_0605[p] + s_1279[p]  -> s_0840[p] + s_1507[p]"	"decanoyl-CoA[p] + oxygen[p]  -> hydrogen peroxide[p] + trans-dec-2-enoyl-CoA[p]"	"YGL205W"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"1.3.3.6"	"NA"
102	"r_0121"	"acyl-CoA oxidase (dodecanoyl-CoA)"	"s_1076[p] + s_1279[p]  -> s_0840[p] + s_1510[p]"	"lauroyl-CoA[p] + oxygen[p]  -> hydrogen peroxide[p] + trans-dodec-2-enoyl-CoA[p]"	"YGL205W"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"1.3.3.6"	"NA"
103	"r_0122"	"acyl-CoA oxidase (hexacosanoyl-CoA)"	"s_0819[p] + s_1279[p]  -> s_0840[p] + s_1513[p]"	"hexacosanoyl-CoA[p] + oxygen[p]  -> hydrogen peroxide[p] + trans-hexacos-2-enoyl-CoA[p]"	"YGL205W"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"1.3.3.6"	"NA"
104	"r_0123"	"acyl-CoA oxidase (hexadecanoyl-CoA)"	"s_1279[p] + s_1305[p]  -> s_0823[p] + s_0840[p]"	"oxygen[p] + palmitoyl-CoA[p]  -> hexadec-2-enoyl-CoA[p] + hydrogen peroxide[p]"	"YGL205W"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"1.3.3.6"	"NA"
105	"r_0124"	"acyl-CoA oxidase (octadecanoyl-CoA)"	"s_1279[p] + s_1457[p]  -> s_0840[p] + s_1516[p]"	"oxygen[p] + stearoyl-CoA[p]  -> hydrogen peroxide[p] + trans-octadec-2-enoyl-CoA[p]"	"YGL205W"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"1.3.3.6"	"NA"
106	"r_0125"	"acyl-CoA oxidase (tetradecanoyl-CoA)"	"s_1179[p] + s_1279[p]  -> s_0840[p] + s_1519[p]"	"myristoyl-CoA[p] + oxygen[p]  -> hydrogen peroxide[p] + trans-tetradec-2-enoyl-CoA[p]"	"YGL205W"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"1.3.3.6"	"NA"
107	"r_0126"	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane"	"s_2821[erm] + s_3432[erm]  <=> s_2785[erm] + s_3433[erm]"	"oleoyl-CoA[erm] + episterol[erm]  <=> coenzyme A[erm] + episteryl oleate[erm]"	"YCR048W"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
108	"r_0127"	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane"	"s_2821[erm] + s_3441[erm]  <=> s_2785[erm] + s_3442[erm]"	"oleoyl-CoA[erm] + ergosterol[erm]  <=> coenzyme A[erm] + ergosteryl oleate[erm]"	"( YCR048W or YNR019W )"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
109	"r_0128"	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane"	"s_2821[erm] + s_3435[erm]  <=> s_2785[erm] + s_3436[erm]"	"oleoyl-CoA[erm] + fecosterol[erm]  <=> coenzyme A[erm] + fecosteryl oleate[erm]"	"YCR048W"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
110	"r_0129"	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane"	"s_2821[erm] + s_3438[erm]  <=> s_2785[erm] + s_3439[erm]"	"oleoyl-CoA[erm] + lanosterol[erm]  <=> coenzyme A[erm] + lanosteryl oleate[erm]"	"YCR048W"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
111	"r_0130"	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane"	"s_2821[erm] + s_3444[erm]  <=> s_2785[erm] + s_3445[erm]"	"oleoyl-CoA[erm] + zymosterol[erm]  <=> coenzyme A[erm] + zymosteryl oleate[erm]"	"YCR048W"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
112	"r_0131"	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane"	"s_2819[erm] + s_3432[erm]  <=> s_2785[erm] + s_3434[erm]"	"palmitoleoyl-CoA(4−)[erm] + episterol[erm]  <=> coenzyme A[erm] + episteryl palmitoleate[erm]"	"YCR048W"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
113	"r_0132"	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane"	"s_2819[erm] + s_3441[erm]  <=> s_2785[erm] + s_3443[erm]"	"palmitoleoyl-CoA(4−)[erm] + ergosterol[erm]  <=> coenzyme A[erm] + ergosteryl palmitoleate[erm]"	"( YCR048W or YNR019W )"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
114	"r_0133"	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane"	"s_2819[erm] + s_3435[erm]  <=> s_2785[erm] + s_3437[erm]"	"palmitoleoyl-CoA(4−)[erm] + fecosterol[erm]  <=> coenzyme A[erm] + fecosteryl palmitoleate[erm]"	"YCR048W"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
115	"r_0134"	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane"	"s_2819[erm] + s_3438[erm]  <=> s_2785[erm] + s_3440[erm]"	"palmitoleoyl-CoA(4−)[erm] + lanosterol[erm]  <=> coenzyme A[erm] + lanosteryl palmitoleate[erm]"	"YCR048W"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
116	"r_0135"	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane"	"s_2819[erm] + s_3444[erm]  <=> s_2785[erm] + s_3446[erm]"	"palmitoleoyl-CoA(4−)[erm] + zymosterol[erm]  <=> coenzyme A[erm] + zymosteryl palmitoleate[erm]"	"YCR048W"	"steroid biosynthesis ( sce00100 )"	-1000	1000	0	"pmid:10672016"	"2.3.1.26"	"NA"
117	"r_0137"	"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3"	"s_0329[er] + s_1303[er]  <=> s_0330[er] + s_0530[er]"	"6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[er] + palmitoyl-CoA[er]  <=> 6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol[er] + coenzyme A[er]"	"YJL091C"	"glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )"	-1000	1000	0	"pmid:12714589"	"2.3.-.-"	"NA"
118	"r_0138"	"adenine deaminase"	"s_0383[c] + s_0794[c] + s_0803[c]  -> s_0419[c] + s_0843[c]"	"adenine[c] + H+[c] + H2O[c]  -> ammonium[c] + hypoxanthine[c]"	"YNL141W"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"3.5.4.2"	"NA"
119	"r_0139"	"adenine phosphoribosyltransferase"	"s_0383[c] + s_1386[c]  -> s_0423[c] + s_0633[c]"	"adenine[c] + PRPP[c]  -> AMP[c] + diphosphate[c]"	"YML022W"	"purine metabolism ( sce00230 )"	0	1000	0	"pmid:9864350"	"2.4.2.7"	"R00190"
120	"r_0140"	"adenosine deaminase"	"s_0386[c] + s_0794[c] + s_0803[c]  -> s_0419[c] + s_0856[c]"	"adenosine[c] + H+[c] + H2O[c]  -> ammonium[c] + inosine[c]"	"YNL141W"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"3.5.4.2"	"NA"
121	"r_0142"	"adenosine kinase"	"s_0386[c] + s_0434[c]  -> s_0394[c] + s_0423[c] + s_0794[c]"	"adenosine[c] + ATP[c]  -> ADP[c] + AMP[c] + H+[c]"	"YJR105W"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"2.7.1.20"	"R00185"
122	"r_0143"	"adenosine monophosphate deaminase"	"s_0423[c] + s_0794[c] + s_0803[c]  -> s_0419[c] + s_0849[c]"	"AMP[c] + H+[c] + H2O[c]  -> ammonium[c] + IMP[c]"	"YML035C"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"3.5.4.6"	"NA"
123	"r_0144"	"adenosylhomocysteinase"	"s_0803[c] + s_1413[c]  -> s_0386[c] + s_1012[c]"	"H2O[c] + S-adenosyl-L-homocysteine[c]  -> adenosine[c] + L-homocysteine[c]"	"YER043C"	"cysteine and methionine metabolism ( sce00270 )"	0	1000	0	"pmid:15556636"	"3.3.1.1"	"R00192"
124	"r_0145"	"adenosylmethionine decarboxylase"	"s_0794[c] + s_1416[c]  -> s_0456[c] + s_1420[c]"	"H+[c] + S-adenosyl-L-methionine[c]  -> carbon dioxide[c] + S-adenosylmethioninamine[c]"	"YOL052C"	"arginine and proline metabolism ( sce00330 )"	0	1000	0	"pmid:3087344"	"4.1.1.50"	"R00178"
125	"r_0146"	"adenosylmethionine-8-amino-7-oxononanoate transaminase"	"s_0352[c] + s_1416[c]  <=> s_0341[c] + s_1412[c]"	"8-amino-7-oxononanoate[c] + S-adenosyl-L-methionine[c]  <=> 7,8-diaminononanoate[c] + S-adenosyl-4-methylthio-2-oxobutanoate[c]"	"YNR058W"	"biotin metabolism ( sce00780 )"	-1000	1000	0	"NA"	"2.6.1.62"	"R03231"
126	"r_0147"	"adenylate cyclase"	"s_0434[c]  -> s_0192[c] + s_0633[c]"	"ATP[c]  -> 3',5'-cyclic AMP[c] + diphosphate[c]"	"YJL005W"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"4.6.1.1"	"R00089"
127	"r_0148"	"adenylate kinase"	"s_0423[c] + s_0434[c]  -> 2 s_0394[c]"	"AMP[c] + ATP[c]  -> 2 ADP[c]"	"YDR226W"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"2.7.4.3"	"R00127"
128	"r_0149"	"adenylate kinase"	"s_0424[m] + s_0437[m]  -> 2 s_0397[m]"	"AMP[m] + ATP[m]  -> 2 ADP[m]"	"YER170W"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"2.7.4.10"	"R00127"
129	"r_0150"	"adenylate kinase (GTP)"	"s_0424[m] + s_0786[m]  <=> s_0397[m] + s_0741[m]"	"AMP[m] + GTP[m]  <=> ADP[m] + GDP[m]"	"YER170W"	"purine metabolism ( sce00230 )"	-1000	1000	0	"NA"	"2.7.4.10"	"NA"
130	"r_0151"	"adenylosuccinate lyase (AICAR)"	"s_0299[c]  -> s_0403[c] + s_0725[c]"	"5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole[c]  -> AICAR[c] + fumarate[c]"	"YLR359W"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"4.3.2.2"	"R04559"
131	"r_0152"	"adenylosuccinate lyase"	"s_0393[c]  <=> s_0423[c] + s_0725[c]"	"adenylo-succinate[c]  <=> AMP[c] + fumarate[c]"	"YLR359W"	"purine metabolism ( sce00230 )"	-1000	1000	0	"NA"	"4.3.2.2"	"R01083"
132	"r_0153"	"adenylosuccinate synthase"	"s_0785[c] + s_0849[c] + s_0973[c]  -> s_0393[c] + s_0739[c] + 2 s_0794[c] + s_1322[c]"	"GTP[c] + IMP[c] + L-aspartate[c]  -> adenylo-succinate[c] + GDP[c] + 2 H+[c] + phosphate[c]"	"YNL220W"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"6.3.4.4"	"R01135"
133	"r_0154"	"adenylyl-sulfate kinase"	"s_0298[c] + s_0434[c]  -> s_0201[c] + s_0394[c] + s_0794[c]"	"5'-adenylyl sulfate[c] + ATP[c]  -> 3'-phospho-5'-adenylyl sulfate[c] + ADP[c] + H+[c]"	"YKL001C"	"sulfur metabolism ( sce00920 )"	0	1000	0	"pmid:1654509"	"2.7.1.25"	"R00509"
134	"r_0155"	"ADP-ribose 2,3-cyclic phosphodiesterase"	"s_0131[c] + s_0794[c] + s_0803[c]  -> s_0389[c]"	"2',3'-cyclic AMP[c] + H+[c] + H2O[c]  -> adenosine 2'-phosphate[c]"	"YGR247W"	"other"	0	1000	0	"pmid:10734185"	"3.1.4.37"	"NA"
135	"r_0156"	"alanine glyoxylate aminotransferase"	"s_0779[c] + s_0955[c]  -> s_1003[c] + s_1399[c]"	"glyoxylate[c] + L-alanine[c]  -> L-glycine[c] + pyruvate[c]"	"YFL030W"	"alanine, aspartate and glutamate metabolism ( sce00250 )"	0	1000	0	"NA"	"2.6.1.44"	"R00369"
136	"r_0157"	"alanyl-tRNA synthetase"	"s_0434[c] + s_0955[c] + s_1582[c]  -> s_0404[c] + s_0423[c] + s_0633[c]"	"ATP[c] + L-alanine[c] + tRNA(Ala), cytoplasmic[c]  -> Ala-tRNA(Ala)[c] + AMP[c] + diphosphate[c]"	"YOR335C"	"aminoacyl-trna biosynthesis ( sce00970 )"	0	1000	0	"pmid:7761427"	"6.1.1.7"	"R03038"
137	"r_0158"	"alcohol acetyltransferase (2-methylbutanol)"	"s_0169[c] + s_0373[c]  -> s_0172[c] + s_0529[c]"	"2-methylbutanol[c] + acetyl-CoA[c]  -> 2-methylbutyl acetate[c] + coenzyme A[c]"	"( YGR177C or YOR377W )"	"complex alcohol metabolism"	0	1000	0	"pmid:12957907"	"2.3.1.84"	"NA"
