Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_0298	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0299	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0300	citrate cycle (tca cycle) ( sce00020 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism / sce01210 2-Oxocarboxylic acid metabolism ; ito980"
r_0301	citrate cycle (tca cycle) ( sce00020 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism / sce01210 2-Oxocarboxylic acid metabolism ; ito980"
r_0302	citrate cycle (tca cycle) ( sce00020 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism / sce01210 2-Oxocarboxylic acid metabolism ; ito980"
r_0303	citrate cycle (tca cycle) ( sce00020 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism / sce01210 2-Oxocarboxylic acid metabolism ; ito980"
r_0304	porphyrin and chlorophyll metabolism ( sce00860 )	No change
r_0306	pyrimidine metabolism ( sce00240 )	No change
r_0307	pyrimidine metabolism ( sce00240 )	No change
r_0308	cysteine and methionine metabolism ( sce00270 )	"/ sce00450 Selenocompound metabolism; MNX"
r_0309	glycine, serine and threonine metabolism ( sce00260 )	"/ sce00270 Cysteine and methionine metabolism; ito980 and imm904"
r_0310	cysteine and methionine metabolism ( sce00270 )	"sce00260 Glycine, serine and threonine metabolism / sce00450 Selenocompound metabolism; ito980 and imm904"
r_0311	cysteine and methionine metabolism ( sce00270 )	"sce00450 Selenocompound metabolism / sce00920 Sulfur metabolism; MNX"
r_0312	cysteine and methionine metabolism ( sce00270 )	"/ sce00920 Sulfur metabolism; ito980"
r_0313	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0314	pyrimidine metabolism ( sce00240 )	No change
r_0315	pyrimidine metabolism ( sce00240 )	No change
r_0317	steroid biosynthesis ( sce00100 )	No change
r_0318	pyrimidine metabolism ( sce00240 )	"/ sce00330 Arginine and proline metabolism; MNX"
r_0319	arabinose metabolism	ito980
r_0320	arabinose metabolism	ito980
r_0321	arabinose metabolism	ito980
r_0322	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00030 Pentose phosphate pathway / sce00051 Fructose and mannose metabolism ; From ito980"
r_0323	fructose and mannose metabolism ( sce00051 )	"sce00040 Pentose and glucuronate interconversions / ;MNX"
r_0326	pyrimidine metabolism ( sce00240 )	No change
r_0327	pyrimidine metabolism ( sce00240 )	No change
r_0328	purine metabolism ( sce00230 )	No change
r_0329	pyrimidine metabolism ( sce00240 )	No change
r_0330	purine metabolism ( sce00230 )	No change
r_0331	hypusine biosynthesis	ito980
r_0332	pentose phosphate pathway ( sce00030 )	No change
r_0334	pantothenate and coa biosynthesis ( sce00770 )	No change
r_0335	biotin metabolism ( sce00780 )	No change
r_0340	sphingolipid metabolism ( sce00600 )	No change
r_0341	sphingolipid metabolism ( sce00600 )	No change
r_0342	sphingolipid metabolism ( sce00600 )	No change
r_0343	sphingolipid metabolism ( sce00600 )	No change
r_0344	folate biosynthesis ( sce00790 )	"sce00670 One carbon pool by folate / ; ito980"
r_0345	folate biosynthesis ( sce00790 )	"sce00670 One carbon pool by folate / ; ito980"
r_0346	folate biosynthesis ( sce00790 )	No change
r_0347	folate biosynthesis ( sce00790 )	No change
r_0348	folate biosynthesis ( sce00790 )	kegg
r_0349	pyrimidine metabolism ( sce00240 )	No change
r_0350	folate biosynthesis ( sce00790 )	No change
r_0351	folate biosynthesis ( sce00790 )	No change
r_0352	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0353	valine, leucine, and isoleucine metabolism	"sce00290 Valine, leucine and isoleucine biosynthesis/ sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0354	glycerolipid metabolism ( sce00561 )	"sce00051 Fructose and mannose metabolism / ; ito980"
r_0355	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0356	glycolysis / gluconeogenesis ( sce00010 )	No change
r_0357	inositol phosphate metabolism ( sce00562 )	kegg and recon3d
r_0358	phosphatidylinositol signaling system ( sce04070 )	No change. Wrong gene information?
r_0359	cysteine and methionine metabolism ( sce00270 )	ito980
r_0360	n-glycan biosynthesis ( sce00510 )	No change
r_0361	n-glycan biosynthesis ( sce00510 )	No change
r_0362	mannose type o-glycan biosynthesis ( sce00515 )	"sce00514 Other types of O-glycan biosynthesis / ; kegg"
r_0363	pyrimidine metabolism ( sce00240 )	No change
r_0364	pyrimidine metabolism ( sce00240 )	No change
r_0365	pentose and glucuronate interconversions ( sce00040 )	No change
r_0366	glycolysis / gluconeogenesis ( sce00010 )	"/ sce03018 RNA degradation; ito980"
r_0368	glycerophospholipid metabolism ( sce00564 )	No change
r_0369	complex alcohol metabolism	ito980
r_0370	starch and sucrose metabolism ( sce00500 )	No change
r_0373	terpenoid backbone biosynthesis ( sce00900 )	MNX
r_0399	fatty acid biosynthesis ( sce00061 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce00071 Fatty acid degradation; ito980"
r_0400	fatty acid biosynthesis ( sce00061 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce00071 Fatty acid degradation; ito980"
r_0402	fatty acid biosynthesis ( sce00061 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce00071 Fatty acid degradation; ito980"
r_0410	fatty acid biosynthesis ( sce00061 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce00071 Fatty acid degradation; ito980"
r_0412	fatty acid biosynthesis ( sce00061 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce00071 Fatty acid degradation; ito980"
r_0436	porphyrin and chlorophyll metabolism ( sce00860 )	No change
r_0437	oxidative phosphorylation ( sce00190 )	/ sce00920 Sulfur metabolism. Ito980. Rong gene information?
r_0438	oxidative phosphorylation ( sce00190 )	/ sce00920 Sulfur metabolism. Ito980
r_0439	oxidative phosphorylation ( sce00190 )	/ sce00920 Sulfur metabolism. Ito980
r_0440	riboflavin metabolism ( sce00740 )	No change
r_0441	riboflavin metabolism ( sce00740 )	ito980
r_0442	riboflavin metabolism ( sce00740 )	ito980
r_0443	tyrosine metabolism ( sce00350 )	"/sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation; recon3D"
r_0445	glyoxylate and dicarboxylate metabolism ( sce00630 )	No change
r_0446	one carbon pool by folate ( sce00670 )	No change
r_0447	one carbon pool by folate ( sce00670 )	No change
r_0448	fructose and mannose metabolism ( sce00051 )	No change
r_0449	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00030 Pentose phosphate pathway / sce00051 Fructose and mannose metabolism; kegg"
r_0450	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00030 Pentose phosphate pathway / sce00051 Fructose and mannose metabolism; ito980"
r_0451	citrate cycle (tca cycle) ( sce00020 )	"/ sce00620 Pyruvate metabolism; MNX"
r_0452	citrate cycle (tca cycle) ( sce00020 )	"/ sce00620 Pyruvate metabolism; MNX"
r_0453	pyrimidine metabolism ( sce00240 )	No change
r_0454	carbon fixation pathways in prokaryotes	kegg
r_0455	carbon fixation pathways in prokaryotes	kegg
r_0457	glutathione metabolism ( sce00480 )	"sce00430 Taurine and hypotaurine metabolism /; ito980"
r_0458	galactose metabolism ( sce00052 )	"/ sce00520 Amino sugar and nucleotide sugar metabolism;ito980"
r_0459	galactose metabolism ( sce00052 )	"/ sce00520 Amino sugar and nucleotide sugar metabolism;ito980"
r_0460	glutathione metabolism ( sce00480 )	"sce00270 Cysteine and methionine metabolism /;ito980"
r_0461	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	imm904
r_0462	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0463	starch and sucrose metabolism ( sce00500 )	No change
r_0464	starch and sucrose metabolism ( sce00500 )	No change
r_0465	amino sugar and nucleotide sugar metabolism ( sce00520 )	ito980
r_0466	pentose phosphate pathway ( sce00030 )	"/ sce00480 Glutathione metabolism ; imm904"
r_0467	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00030 Pentose phosphate pathway / sce00500 Starch and sucrose metabolism / sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_0468	arginine and proline metabolism ( sce00330 )	"/ sce00332 Carbapenem biosynthesis; ito980"
r_0469	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00410 beta-Alanine metabolism / sce00430 Taurine and hypotaurine metabolism / sce00650 Butanoate metabolism; ito980 and imm904"
r_0470	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00410 beta-Alanine metabolism / sce00430 Taurine and hypotaurine metabolism / sce00650 Butanoate metabolism; ito980 and imm904"
r_0471	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00410 beta-Alanine metabolism / sce00430 Taurine and hypotaurine metabolism / sce00650 Butanoate metabolism; ito980 and imm904"
r_0472	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00910 Nitrogen metabolism; ito980"
r_0473	arginine and proline metabolism ( sce00330 )	"/ sce00332 Carbapenem biosynthesis; ito980"
r_0475	alanine, aspartate and glutamate metabolism ( sce00250 )	kegg and imm904
r_0476	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00410 beta-Alanine metabolism / sce00430 Taurine and hypotaurine metabolism / sce00650 Butanoate metabolism; ito980 and imm904"
r_0477	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_0478	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0479	aminoacyl-trna biosynthesis ( sce00970 )	"sce00860 Porphyrin and chlorophyll metabolism / ; ito980"
r_0480	aminoacyl-trna biosynthesis ( sce00970 )	"sce00860 Porphyrin and chlorophyll metabolism / ; ito980"
r_0481	glutathione metabolism ( sce00480 )	No change
r_0482	glutathione metabolism ( sce00480 )	No change
r_0483	glutathione metabolism ( sce00480 )	No change
r_0484	glutathione metabolism ( sce00480 )	imm904
r_0485	glutathione metabolism ( sce00480 )	"sce00270 Cysteine and methionine metabolism /;ito980"
r_0486	glycolysis / gluconeogenesis ( sce00010 )	No change
r_0487	glycerolipid metabolism ( sce00561 )	No change
r_0488	glycerolipid metabolism ( sce00561 )	No change
r_0489	glycerolipid metabolism ( sce00561 )	No change
r_0490	glycerophospholipid metabolism ( sce00564 )	No change
r_0491	glycerophospholipid metabolism ( sce00564 )	"/ sce04011 MAPK signaling pathway – yeast;MNX"
r_0492	glycerophospholipid metabolism ( sce00564 )	"/ sce04011 MAPK signaling pathway – yeast;MNX"
r_0497	glycerophospholipid metabolism ( sce00564 )	No change
r_0499	purine metabolism ( sce00230 )	"/ sce00670 One carbon pool by folate; ito980"
r_0500	glycine, serine, alanine and threonine metabolism	imm904
r_0501	glycine, serine and threonine metabolism ( sce00260 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00670 One carbon pool by folate/ sce00010 Glycolysis / Gluconeogenesis / sce00020 Citrate cycle (TCA cycle) ; ito980 and imm904"
r_0502	glycine, serine and threonine metabolism ( sce00260 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism / sce00670 One carbon pool by folate; ito980"
r_0503	glycine, serine and threonine metabolism ( sce00260 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism / sce00670 One carbon pool by folate; ito980"
r_0504	glycine, serine and threonine metabolism ( sce00260 )	"sce00010 Glycolysis / Gluconeogenesis / sce00020 Citrate cycle (TCA cycle) / sce00280 Valine, leucine and isoleucine degradation / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00670 One carbon pool by folate; imm904"
r_0505	glycine, serine and threonine metabolism ( sce00260 )	"sce00010 Glycolysis / Gluconeogenesis / sce00020 Citrate cycle (TCA cycle) / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00380 Tryptophan metabolism / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00670 One carbon pool by folate; imm904"
r_0506	glycine, serine and threonine metabolism ( sce00260 )	"sce00010 Glycolysis / Gluconeogenesis / sce00020 Citrate cycle (TCA cycle) / sce00280 Valine, leucine and isoleucine degradation / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00670 One carbon pool by folate; imm904"
r_0507	glycine, serine and threonine metabolism ( sce00260 )	"sce00010 Glycolysis / Gluconeogenesis / sce00020 Citrate cycle (TCA cycle) / sce00280 Valine, leucine and isoleucine degradation / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00670 One carbon pool by folate; imm904"
r_0508	glycine, serine and threonine metabolism ( sce00260 )	"sce00010 Glycolysis / Gluconeogenesis / sce00020 Citrate cycle (TCA cycle) / sce00280 Valine, leucine and isoleucine degradation / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00670 One carbon pool by folate; imm904"
r_0509	glycine, serine and threonine metabolism ( sce00260 )	"sce00010 Glycolysis / Gluconeogenesis / sce00020 Citrate cycle (TCA cycle) / sce00280 Valine, leucine and isoleucine degradation / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / sce00670 One carbon pool by folate; imm904"
r_0510	starch and sucrose metabolism ( sce00500 )	No change
r_0511	starch and sucrose metabolism ( sce00500 )	No change
r_0512	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0514	purine metabolism ( sce00230 )	No change
r_0518	glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )	No change
r_0519	glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )	No change
r_0520	glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )	No change
r_0521	glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )	No change
r_0522	glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )	No change
r_0523	glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )	No change
r_0524	folate biosynthesis ( sce00790 )	No change
r_0525	riboflavin metabolism ( sce00740 )	"/ sce00790 Folate biosynthesis; ito980 and imm904"
r_0526	purine metabolism ( sce00230 )	No change
r_0527	purine metabolism ( sce00230 )	No change
r_0528	purine metabolism ( sce00230 )	No change
r_0529	purine metabolism ( sce00230 )	No change
r_0530	other	ito980 and imm904
r_0531	porphyrin and chlorophyll metabolism ( sce00860 )	"sce00190 Oxidative phosphorylation /; MNX"
r_0532	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	No change
r_0533	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00051 Fructose and mannose metabolism / sce00052 Galactose metabolism / sce00500 Starch and sucrose metabolism / sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_0534	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00051 Fructose and mannose metabolism / sce00052 Galactose metabolism / sce00500 Starch and sucrose metabolism / sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_0535	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00051 Fructose and mannose metabolism / sce00052 Galactose metabolism / sce00500 Starch and sucrose metabolism / sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_0536	histidine metabolism ( sce00340 )	No change
r_0537	histidine metabolism ( sce00340 )	No change
r_0538	histidine metabolism ( sce00340 )	"/ sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis; ito980 and imm904"
r_0539	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0540	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0541	histidine metabolism ( sce00340 )	MNX
r_0542	lysine metabolism	"sce00300 Lysine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0543	pyruvate metabolism ( sce00620 )	"sce00300 Lysine biosynthesis / sce01210 2-Oxocarboxylic acid metabolism; imm904 and ito980"
r_0544	cysteine and methionine metabolism ( sce00270 )	No change
r_0545	lysine metabolism	"sce00300 Lysine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0546	glycine, serine and threonine metabolism ( sce00260 )	"/ sce00270 Cysteine and methionine metabolism / sce00300 Lysine biosynthesis; ito980"
r_0547	glycine, serine and threonine metabolism ( sce00260 )	"/ sce00270 Cysteine and methionine metabolism / sce00300 Lysine biosynthesis; ito980"
r_0548	glycine, serine and threonine metabolism ( sce00260 )	No change
r_0549	cysteine and methionine metabolism ( sce00270 )	No change
r_0550	sulfur relay system ( sce04122 )	imm904
r_0551	sulfur relay system ( sce04122 )	imm904
r_0552	sulfur relay system ( sce04122 )	No change
